World Port Index Number,Region Name,Main Port Name,Alternate Port Name,Tidal Range (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Port Security,Vessel Traffic Service,Communications - Telephone,Communications - Radio,Communications - Airport,Communications - Rail,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Medical Facilities,Garbage Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes - Container,Services - Longshoremen,Services - Electricity,Services - Navigation Equipment,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Repairs,Dry Dock,Railway,Latitude,Longitude
12540,Brazil NE Coast -- 12470,Itacoatiara,Serpa,0,11,0,9.4,0,0,0,Very Small,River (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Yes,Unknown,Yes,Unknown,Limited,Unknown,Small,-3.15,-58.45
12490,Brazil NE Coast -- 12470,Belem,Para,3,3.4,11,6.4,0,0,0,Medium,River (Natural),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,Unknown,Yes,Yes,Yes,Moderate,Medium,Small,-1.45,-48.5
9950,Bermuda Islands -- 9930,Ireland Island,Freeport,0.9,7.9,11,11,0,0,0,Medium,Coastal (Breakwater),Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,Unknown,Unknown,32.316667,-64.833333
4180,Canada Lake Huron -- 3640,Meldrum Bay, ,0,6.4,7.9,3.4,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Limited,Unknown,Unknown,45.933333,-83.116667
4140,Canada Lake Huron -- 3640,Little Current, ,0,6.4,6.4,6.4,0,0,0,Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,Unknown,Medium,45.983333,-81.933333
4080,Canada Lake Huron -- 3640,Killarney,Shebaonaning,0,4.9,1.8,3.4,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,Unknown,Medium,45.966667,-81.516667
4060,Canada Lake Huron -- 3640,Key Harbour, ,0,4.9,6.4,0,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,Unknown,Unknown,45.883333,-80.75
2930,Canada Lake Ontario -- 2820,Belleville, ,0,3.4,4.9,3.4,0,0,0,Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Limited,Unknown,Small,44.15,-77.4
2130,Canada St Lawrence R -- 1930,Chicoutimi (Port Saguenay),Port Saguenay,5,4.9,23.2,12.5,0,0,0,Small,River (Natural),Unknown,Good,Yes,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,Small,Unknown,48.433333,-71.066667
18925,Canada West Coast -- 18080,Kitimat, ,5,9.4,11,9.4,0,0,0,Small,Coastal (Natural),Unknown,Fair,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,Unknown,Unknown,54,-128.683333
46495,Angola -- 46478,Futila Terminal, ,0,6.4,23.2,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,None,Unknown,Unknown,-5.45,12.183333
2960,Canada Lake Ontario -- 2820,Cobourg, ,0,3.4,6.4,3.4,0,0,0,Small,Coastal (Breakwater),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Limited,Unknown,Unknown,43.95,-78.166667
12890,Brazil SE Coast -- 12700,Macae,Macahe,3,1.8,3.4,0,0,0,0,Very Small,River (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,-22.366667,-41.766667
53810,Australia -- 53290,Eden, ,1,9.4,9.4,6.4,0,0,0,Very Small,Coastal (Breakwater),Unknown,Good,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Emergency Only,Unknown,Unknown,-37.066667,149.916667
3350,Canada Lake Erie -- 3240,Leamington, ,0,4.9,7.9,4.9,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,Unknown,Unknown,42.033333,-82.6
12930,Brazil SE Coast -- 12700,Niteroi,Nictheroy,1,6.4,9.4,7.9,0,0,0,Small,Coastal (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Moderate,Medium,Small,-22.883333,-43.116667
5510,South Side -- 5501,Gaspe, ,2,21.6,6.4,9.4,0,0,0,Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,Medium,Unknown,48.833333,-64.483333
5600,New Brunswick -- 5555,Caraquet, ,2,4.9,7.9,6.4,0,0,0,Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,No,No,Unknown,No,No,No,Yes,Yes,Yes,Yes,Limited,Unknown,Unknown,47.8,-64.933333
9995,Bahama Islands -- 9980,Clifton Pier, ,1,11,14,0,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,25,-77.55
46549,Angola -- 46540,Girassol Terminal, ,2,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Unknown,Unknown,Unknown,-7.65,11.683333
46551,Angola -- 46540,Dalia Terminal, ,0,23.2,23.2,23.2,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-7.683333,11.766667
54200,Australia -- 53290,Kingscote, ,1,3.4,4.9,3.4,0,0,0,Very Small,Coastal (Breakwater),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Limited,Unknown,Unknown,-35.633333,137.633333
54970,Tasmania -- 54700,Launceston, ,2,1.8,7.9,7.9,0,0,0,Small,River (Natural),Unknown,Excellent,Yes,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,Small,Unknown,-41.45,147.116667
48276,United Arab Emirates -- 48260,Mina Jabal Ali,Mina Jebel Ali,1,15.5,21.6,11,0,0,0,Large,Coastal (Breakwater),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Major,Unknown,Unknown,25.016667,55.05
48275,United Arab Emirates -- 48260,Dubayy,Dubai; Mina Rashid,2,12.5,17.1,12.5,0,0,0,Small,Coastal (Breakwater),Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Major,Large,Unknown,25.266667,55.3
1040,Baffin Island -- 1010,Pangnirtung, ,15,23.2,23.2,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,66.133333,-65.75
18210,Canada West Coast -- 18080,Squamish, ,5,7.9,23.2,11,0,0,0,Very Small,River (Natural),Unknown,Fair,No,No,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,Unknown,Medium,49.683333,-123.15
3860,Canada Lake Huron -- 3640,Owen Sound, ,0,6.4,11,6.4,0,0,0,Small,River (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Small,44.583333,-80.933333
13070,Brazil SE Coast -- 12700,Pelotas, ,1,4.9,0,4.9,0,0,0,Very Small,River (Natural),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Limited,Unknown,Small,-31.783333,-52.333333
2970,Canada Lake Ontario -- 2820,Port Hope, ,0,1.8,3.4,4.9,0,0,0,Small,Coastal (Breakwater),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,43.933333,-78.283333
18150,Canada West Coast -- 18080,Vancouver, ,4,23.2,23.2,14,0,0,0,Large,Coastal (Natural),Unknown,Excellent,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,Medium,Large,49.283333,-123.116667
46545,Angola -- 46540,Soyo Angola Lng Terminal,Soyo,1,14,0,14,0,0,0,Very Small,River (Natural),Unknown,Fair,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,-6.116667,12.333333
4290,Canada Lake Huron -- 3640,Sault Ste Marie, ,0,4.9,7.9,6.4,0,0,0,Small,River (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,Small,Unknown,46.516667,-84.35
5620,New Brunswick -- 5555,Shippegan, ,5,4.9,3.4,3.4,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,47.75,-64.7
4030,Canada Lake Huron -- 3640,Parry Sound, ,0,7.9,12.5,6.4,0,0,0,Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,Limited,Unknown,Medium,45.333333,-80.033333
18980,Canada West Coast -- 18080,Stewart, ,4,0,23.2,7.9,0,0,0,Very Small,Coastal (Natural),Unknown,Poor,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,No,Yes,Unknown,Unknown,Unknown,55.933333,-130
46485,Angola -- 46478,Takula Terminal, ,1,0,23.2,0,0,0,0,Small,Open Roadstead,Unknown,Poor,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-5.216667,11.783333
18950,Canada West Coast -- 18080,Prince Rupert, ,4,23.2,12.5,11,0,0,0,Medium,Coastal (Natural),Unknown,Good,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Limited,Small,Small,54.316667,-130.333333
12920,Brazil SE Coast -- 12700,Rio De Janeiro, ,1,15.5,23.2,12.5,0,0,0,Large,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,Large,Small,-22.9,-43.166667
3930,Canada Lake Huron -- 3640,Penetanguishene, ,0,4.9,9.4,4.9,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Moderate,Unknown,Small,44.766667,-79.933333
11830,Aruba -- 11825,Sint Nicolaas Baai,Sint Nicolaashaven; St Nicolass,2,12.5,23.2,12.5,0,0,0,Small,Coastal (Breakwater),Unknown,Fair,No,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,Unknown,Small,12.433333,-69.916667
46547,Angola -- 46540,Palanca Terminal, ,2,0,23.2,0,0,0,0,Small,Open Roadstead,Unknown,Poor,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,None,Unknown,Unknown,-6.95,12.4
18130,Canada West Coast -- 18080,Port Coquitlam, ,4,0,14,6.4,0,0,0,Very Small,River (Natural),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,49.23333333,-122.7666667
13800,Argentina -- 13310,Puerto Rosales,Puerto Arroyo Pareja; Puerto Pareja,2,0,17.1,4.9,0,0,0,Very Small,Coastal (Breakwater),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,Unknown,Small,-38.933333,-62.066667
12730,Brazil SE Coast -- 12700,Recife,Pernambuco,2,7.9,7.9,9.4,0,0,0,Medium,Coastal (Breakwater),Unknown,Fair,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Major,Unknown,Medium,-8.05,-34.866667
2520,Ottawa River -- 2270,Ottawa, ,0,1.8,9.4,3.4,0,0,0,Small,River (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Moderate,Unknown,Unknown,45.433333,-75.7
3750,Canada Lake Huron -- 3640,Port Elgin, ,0,3.4,3.4,1.8,0,0,0,Very Small,Coastal (Breakwater),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Moderate,Unknown,Unknown,44.433333,-81.4
13930,Argentina -- 13310,Puerto Deseado, ,3,6.4,14,7.9,0,0,0,Very Small,River (Natural),Unknown,Good,Yes,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Limited,Unknown,Unknown,-47.75,-65.9
46580,Angola -- 46540,Sumbe,Gunza-Kabolo; Nova Redonda,1,23.2,7.9,3.4,0,0,0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,No,No,No,No,Limited,Unknown,Unknown,-11.2,13.833333
31280,Belgium -- 31240,Zeebrugge, ,4,9.4,7.9,14,0,0,0,Medium,Coastal (Breakwater),Unknown,Good,Yes,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Limited,Medium,Large,51.333333,3.2
13810,Argentina -- 13310,Puerto Belgrano,Punta Alta,2,9.4,17.1,7.9,0,0,0,Small,Coastal (Breakwater),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,Yes,Major,Large,Medium,-38.883333,-62.1
5210,Canada Lake Superior -- 5120,Thunder Bay,Fort William; Port Arthur,0,6.4,9.4,6.4,0,0,0,Medium,Coastal (Breakwater),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,Medium,Unknown,48.4,-89.233333
13055,Brazil SE Coast -- 12700,Tramandai,Maritimo Almirande; Tranmandai,1,20.1,20.1,0,0,0,0,Small,Open Roadstead,Unknown,Poor,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,No,No,No,Unknown,Yes,Unknown,Yes,Yes,No,Unknown,Unknown,Limited,Unknown,Small,-29.983333,-50.133333
54940,Tasmania -- 54700,Port Dalrymple, ,0,9.4,6.4,0,0,0,0,Medium,Coastal (Natural),Unknown,Good,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-41.133333,146.833333
54410,Australia -- 53290,Thevenard, ,1,7.9,6.4,9.4,0,0,0,Small,Coastal (Natural),Unknown,Fair,No,No,Unknown,Unknown,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Limited,Unknown,Unknown,-32.166667,133.65
54280,Australia -- 53290,Wallaroo, ,1,7.9,7.9,9.4,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Limited,Unknown,Small,-33.933333,137.616667
53840,Australia -- 53290,Welshpool,Port Wellshpool,5,1.8,23.2,4.9,0,0,0,Very Small,Coastal (Natural),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Emergency Only,Unknown,Unknown,-38.7,146.466667
53930,Australia -- 53290,Western Port,Hastings,3,14,14,11,0,0,0,Very Small,Coastal (Natural),Unknown,Good,Yes,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Moderate,Unknown,Small,-38.35,145.233333
